company,ticker,exchange,date,analyst_name,question,suggested_label,label
"Tempus AI, Inc.",TEM,NASDAQ,2024-11-09,Eric Lefkofsky,"I mean, so we told when we went public, which was just five months ago, we told folks that we were on a disciplined path to get to EBITDA positive that we wouldn’t – that we were looking to basically take the gross profit dollar growth we were generating and produced some leverage so that our losses were declining instead of what some other folks in our space have done, which is either kind of just maintain high loss levels or actually go the other way and invest more. We felt that was prudent given that we’re going to turn 10 next year, and we just thought given our size and scale being sustainable and not burning money was an important milestone. We haven’t yet determined how we want to harvest profits. So I think what I can safely say is, especially with this acquisition, we’ve crossed that hurdle. We’ve kind of checked that box. We’re now on an annualized basis, an EBITDA positive, cash flow positive sustainable business, but we need to think a little bit about how we want to harvest the EBITDA we’re going to generate relative to invest in the future, and I wouldn’t – I don’t – I think we’re more focused in the next several years on making sure we can sustain our growth rate, not trying to generate an extra $50 million of EBITDA in a given year. So I think you’ll, I think, see us make those trade-offs but we’re still disciplined and we want to run a good business. And so I think hopefully we’ll find the right balance.",Alarmed,
"Calumet, Inc.",CLMT,NASDAQ,2024-11-08,Bruce Fleming,"Hey, Adam. Bruce. So the volume outlook is we're not concerned about it. Montana Renewables sits in the middle of a really large production area for these kinds of feedstocks. There's a lot of diversity. And we're actually dynamically optimizing as those feed classes move around relative to each other. So then you come to the price. And in a way, the view that we have is all of these feeds over a reasonable short timescale are going to be arbitraged based upon their carbon intensity. So the prices will be different. But if I focus you on margin, the margin add is not as differentiated as the price. As a margin add business, we're floating on the flat price. So the secular decline for two years now in the flat price, everybody's written that down. That does show up on a lot of balance sheets. And we have talked in the past on this call about gains or losses from short-term price movements. But in the long run, we don't think that's a structural concern for the industry.",Alarmed,
The Bank of New York Mellon Corporation,BK,NYSE,2024-07-12,Gerard Cassidy,"Very good. And then just as a follow-up, Robin, you talked about the new business wins in the quarter, and you talked about ONE BNY as well. It appears that you're having success in chipping down or breaking down some of the silos that many organizations always struggle with. Can you share with us some of the tools you're using to break those silos? And how -- I would assume you're not 100% complete breaking them all down, but how far along are you in actually breaking them down?",Alarmed,
Wells Fargo & Company,WFC,NYSE,2024-07-12,Matt O'Connor,"Okay, that's helpful. And obviously, you talked about card losses going down in 3Q, so that's consistent with everything that you said as well. So thank you for the color.",Alarmed,
JPMorgan Chase & Co.,JPM,NYSE,2024-07-12,Steven Chubak,"No need to apologize, Jeremy. That was a really helpful perspective. Maybe just for my follow-up on NII. You've been very consistent just in flagging the risk related to NII over earning, especially in light of potential deposit attrition, as well as repricing headwinds. In the second quarter, we did see at least some moderation in repricing pressures. Deposit balances were also more resilient in what's a seasonally weak quarter for deposit growth. So just given the evidence that some deposit pressures appear to be abating. Do you see the potential for NII normalizing higher? And where do you think that level could ultimately be in terms of stabilization?",Alarmed,
JPMorgan Chase & Co.,JPM,NYSE,2024-07-12,Ken Usdin,"Thanks a lot. Good morning Jeremy. Jeremy, great to see the progress on investment banking fees, up sequentially and 50% year-over-year. And I saw you on the tape earlier just talking about still regulatory concerns a little bit in the advisory space. And we clearly didn't see the debt pull-forward play through, because DCM was great again. I'm just wondering just where you feel the environment is relative to the potential. And just where the dialogue is across the three main bucket areas in terms of like how does this feel in terms of current environment versus a potential environment that we could still see ahead? Thanks.",Alarmed,
JPMorgan Chase & Co.,JPM,NYSE,2024-07-12,Ken Usdin,"Great. Thank you for all that Jeremy. And just one on the consumer side. Just anything you're noticing in terms of people who just have been waiting for this delinquency stabilization on the credit card side. Obviously, your loss rates are coming in as you expected, and we did see 30 days pretty flat and 90 days come down a little bit. Any -- is that seasonal? Is it just a good rate of change trend? Any thoughts there? Thanks.",Alarmed,
"PriceSmart, Inc.",PSMT,NASDAQ,2024-07-11,Jon Braatz,"Well, it has weakened. It was at -- it's at COP4,000 now, and it was at COP3,600 or something like that. So, it's weakened a little bit.",Alarmed,
"Conagra Brands, Inc.",CAG,NYSE,2024-07-11,Max Gumport,"Great. Then on food service with volumes down 10% in the quarter, you called out the QSR weakness as well as some actions to eliminate a low profit business. I was just curious, if you could disaggregate for us the magnitude of each of those two impacts and also what you're seeing on the QSR side in terms of how that weakness could progress over the coming year. Thanks. I’ll leave you there.",Alarmed,
WD-40 Company,WDFC,NASDAQ,2024-07-11,Daniel Rizzo,"Good afternoon, and thanks for taking my questions. I may have missed this, but you mentioned the ERP rollout in the Americas and Asia. I was wondering, did it already occur in Europe or is that something that's going to be doing – you’re going to be doing over the next several quarters?",Alarmed,
"Amylyx Pharmaceuticals, Inc.",AMLX,NASDAQ,2024-07-10,Michael DiFiore,"Okay. That's very helpful. And just two final questions for me. One is kind of a nitpick. Eiger's previous slides say the U.S. prevalence is 180,000. Why does that differ from your quoted prevalence of 160,000 prevalence in the U.S.? And my final question is just thoughts on the increasing use of more effective GLP-1s and how it may erode in the long-term that the number of bariatric surgeries performed annually? I mean we hear with these next-gen incretin therapies like [Cagri-Sema and GGG] kind of approaching bariatric surgeries like weight loss. Do you foresee the numbers of bariatric surgery procedures in the long-term, diminishing? And if so, how may that impact your outlook for this product?",Alarmed,
"Kura Sushi USA, Inc.",KRUS,NASDAQ,2024-07-09,Todd Brooks,"Okay. And then, the final one for me. I know we're a little ways out, but we're starting to get over half a year of experience with the new loyalty program under our belts here. In past discussions, it's iterative. You've got to build the data set before you can really start to lever it. As you're looking towards what you can do with the tool to stimulate frequency, what you can better do maybe in specific markets with segmentation if you need to attack weakness in a market like California, and then maybe using the tool to better tie in or incent people against some of the IP partnerships, where are we in that journey that we start to look at loyalty as being a frequency driver going forward? Thanks.",Alarmed,
Byrna Technologies Inc.,BYRN,NASDAQ,2024-07-09,Jon Hickman,"Okay. And then, unless I missed it, you didn't mention the smaller launcher and when you like – are you still planning on having that out by the end of this fiscal year?",Alarmed,
Indivior PLC,INDV,NASDAQ,2024-07-09,Max Herrmann,Thanks. Taking just a follow-up. I just wanted a point of clarification. Are you saying that 25% of lives in total under coverage will a loss from Medicaid? Or is it 25% of Medicaid covered lives? Just wanted a clarification on that.,Alarmed,
"Constellation Brands, Inc.",STZ,NYSE,2024-07-03,Carlos Laboy,"Yes. Hello, everyone. You've been able to sustain pretty good profit margins or pretty stable profit margins here remarkably well despite the Mexican peso having appreciated very strongly in recent years, but that seems to have turned this quarter. If you were to enter a period of pace of weakness, can you speak to the sort of flexibility that this might give you or that would enter into your pricing strategy? And look, just to be transparent, the reason I'm asking is because in the 80s and 90s, we went through periods of peso weakness and you were able to successfully close price gaps with mainstream beer and the dividends of that are still coming through today. So if you could just speak to how you're thinking about this, it would be helpful.",Alarmed,
"Constellation Brands, Inc.",STZ,NYSE,2024-07-03,Chris Carey,"Hey. Thank you very much. I'm going to follow up on Peter's question there around gross margins in beer specifically. Garth, can you maybe frame how the Q1 gross margin came in relative to your expectations on paper? It certainly looks like strong delivery specifically in the context of the rest of the year. And then just regarding the commentary around taking advantage of the weaker peso, does that give you more confidence on this fiscal year? And how much can you actually take advantage of for fiscal '26 at this point? Thanks.",Alarmed,
"Constellation Brands, Inc.",STZ,NYSE,2024-07-03,Bonnie Herzog,"All right. Thank you. Good morning. I had a question on just marketing. Your outlook for marketing and advertising spend this year, it's below historical levels. And I guess there's some concern that you may be starving your brands. So could you touch on this and provide a little more color on the efficiencies you've gained and may continue to gain, how you're approaching investments this year? And I guess why you feel good about these investment levels? Thanks.",Alarmed,
"Winnebago Industries, Inc.",WGO,NYSE,2024-12-20,Michael Albanese,"Got it. That's helpful. Thank you. And then just a clarifying question on Marine. Obviously, Barletta and Chris-Craft both taking share. Are unit -- I'm sorry if I missed this -- but are unit volumes positive across both brands or is one a bigger driver than the other? Obviously, Barletta is a bigger piece of the business, but…",Alarmed,
BlackBerry Limited,BB,NYSE,2024-12-19,Daniel Chan,"Then on Cylance, you mentioned that you guys are keeping the tax losses there. How much tax losses, does it -- do you get to keep, and what's the opportunity to use those now that you're profitable?",Alarmed,
FactSet Research Systems Inc.,FDS,NYSE,2024-12-19,Manav Patnaik,"Thank you. Helen, I think you made some remarks around just the pricing, packaging versus competition. I was hoping you just elaborate on that just in the context of it sounds like your gross pipelines are obviously really strong, but what exactly are you tweaking, I suppose to make the conversions better?",Alarmed,
Cintas Corporation,CTAS,NASDAQ,2024-12-19,Shlomo Rosenbaum,"Okay. The reason I was asking is because there's a huge focus on kind of that tweaking of the guidance on the top end. The commentary about the pricing being a little bit tougher, just to dimensionalize it would be helpful to know how much we should be expecting in terms of incremental M&A. So that's where that question is coming from. But the second question, the follow-up I have, could you give a little bit more color on the growth of the targeted verticals? Specifically in the quarter, did some do better than others? Maybe just give us a little bit more detail in terms of how much of the growth is being driven by those verticals, some of them accelerating versus decelerating, just so we get a sense, as to how the efforts are progressing there?",Alarmed,
Enerpac Tool Group Corp.,EPAC,NYSE,2024-12-19,Tom Hayes,"Hey, Paul, I was just wondering, I think when we spoke on the fourth quarter and you called it out today, obviously, the industrial environment is a little bit weaker and continues to be weaker. I was just wondering, obviously you guys don't provide quarterly guidance, but did 1Q play out generally as you had expected. Is there anything maybe positive that you saw in the quarter besides pretty strong results?",Alarmed,
Enerpac Tool Group Corp.,EPAC,NYSE,2024-12-19,Ross Sparenblek,"Apologies. Yeah, I was on mute. Forgive me, maybe I missed it, but anything on pricing within the U.S. in the quarter and kind of what you're seeing more globally?",Alarmed,
Steelcase Inc.,SCS,NYSE,2024-12-19,Gregory Burns,"Okay. And then just lastly, when we look at the guide for the revenue guide for the fourth quarter and the third quarter results, we take them as a whole, like, I know there was some favorability in the third quarter in terms of timing of order shipments, so maybe that pulled forward some revenue. But when you look at the second half, is it coming in, in line with the expectations as a whole or is it still below expectations and you expect maybe heading into the year to build momentum as we head into ‘26? Like, how do we view the second half results and versus maybe what you guided to for 2026?",Alarmed,
"Darden Restaurants, Inc.",DRI,NYSE,2024-12-19,David Palmer,"Thanks, good morning, guys. Wanted to ask a question on Olive Garden. I know you have a very good consumer insights team there. I wanted to ask you about what you're seeing with that brand, given the fact that the customer satisfaction levels are so high, sort of, comparable to the leaders in any segment. Olive Garden seems to be equal to that superiority in the Italian segment. I was wondering, why do you think the sales gap to the industry is not better? Is it -- and why is that not related to the advertising? I think a lot of people ask about that, the gap right now in your advertising spend to pre-COVID. I think it's down about a half. So any comments on that would be helpful.",Alarmed,
"Darden Restaurants, Inc.",DRI,NYSE,2024-12-19,Danilo Gargiulo,"Great, Rick. And building on your comments, given the shift in not only political environment, but also the consumer sentiment, as you mentioned earlier. So in light of that, looking into 2025, what is the one item that you're most excited about? And what is the one item that you're watching more closely, because maybe you have some concerns about? Thank you.",Alarmed,
"CarMax, Inc.",KMX,NYSE,2024-12-19,Chris Bottiglieri,"Yes, just wanted to and just go through the allowance a little bit more detail. Hopefully just give us a sense like, you know, what your -- I think in the past you've given like the expected loss on new originations and get a sense like what kind of led the cut to the allowance. Is it more just the remaining vote or are you cutting the provision on new originations as well?",Alarmed,
Organigram Global Inc.,OGI,NASDAQ,2024-12-18,Pablo Zuanic,"Thank you. That's very clear. Look, just shifting gear with the conservatives, I think up 20 points in the polls. What do we know about Poilievre's stance on cannabis? We are getting news on potential excise tax changes, but should we be concerned about big reversals coming in cannabis policy, the Conservatives take control of the government next year?",Alarmed,
Jabil Inc.,JBL,NYSE,2024-12-18,Melissa Fairbanks,"Hey, guys. Thanks so much. I'm not sure if Steve Borges is in the room. If not, I'll just put this out to the team. I wanted to see if we could go into a little more color on what you're seeing in auto and transport over the past earnings cycle, most recent earnings cycle. We've heard of some improvement in the China EV market from across the supply chain. It's also my understanding, you have some new programs coming in transport, like with buses. I'm just wondering about some of the moving parts there and what's incrementally weaker?",Alarmed,
"General Mills, Inc.",GIS,NYSE,2024-12-18,Tom Palmer,"Good morning. Thanks for the question. In past quarters, you've highlighted that your categories are growing 1% to 2%. And I think share losses was really the focus that needed to be mitigated. You gave some helpful commentary on the share loss side, but I wondered what you're seeing for aggregate category growth. Is that holding in to the extent that you anticipated? Are there things you can do, especially in categories where you're -- have quite large share to kind of simulate the category as a whole?",Alarmed,
"Compass Minerals International, Inc.",CMP,NYSE,2024-12-17,Joel Jackson,"Hi, good morning. So, did you say one question or one plus one? Sorry I missed the instructions.",Alarmed,
"Compass Minerals International, Inc.",CMP,NYSE,2024-12-17,Joel Jackson,"Okay, so when I said nine and a half for the full business, you're guiding toward about 10, correct? That sounds about right? 10 for the whole hybrid icing business. Okay. Which makes sense and makes my next follow up question not necessary. But the other, the other question I wanted to ask, it's kind of a nuanced question, but I was actually looking at this, this morning. I was looking at what Compass used to sell for highway de-icing volumes two decades ago, a decade ago. I was looking at what they, what you've sold in the last bunch of years. And what I've noticed is that there's a very clear downward trend in average December quarter volumes. So, March quarter volumes look similar as 20 years ago. Is there something going on in the salt industry the last 10 years where December quarter sales just are lower? Is that we've had lower average winter weather, so you have a lower pre-buying or pre-buying season, or like is there something going on with December quarters are weaker than historical versus March quarters? Do you get what I'm getting at?",Alarmed,
Cheetah Mobile Inc.,CMCM,NYSE,2024-12-17,Unidentified Company Representative,"Reducing losses is definitely our top priority. So today, all enterprises are shouting about cost reduction and efficiency improvement. For us, we have surely achieved a certain scale of loss reduction this year. But I want to say that for this loss reduction, because we participated in some research and development and training of large language models, our pace has slowed down a little bit. But after we review the MV this round, we will put more of our efforts into the development of agents and the implementation related to the intelligence of robots. Such R&D costs will be reduced significantly compared to the large language models in the past 10 years. We definitely have a certain loss reduction plan internally and a timetable for profitability. Well, I think due to the significant changes in the market and technology, we may not be able to disclose this very clearly externally because now I think that this wave, just like the friend's question earlier about some progress in training because we have seen some business opportunities and we also see that due to the support of large language model for service robots whether it's their underlying planning ability, task decision-making ability, including their interaction ability, including their interaction ability, and it will expand their satisfaction in various markets and expand the market in various markets. So we also need to maintain a certain flexibility. If such an opportunity arises, we may have to make some more investments in R&D, of course. Overall, we will definitely aim to make the company profitable and create value for shareholders. This major goal is beyond doubt.",Alarmed,
"RCI Hospitality Holdings, Inc.",RICK,NASDAQ,2024-12-16,Mark Moran,"Fantastic. Thanks so much for that. Before I bring up [indiscernible], Eric, we have a question submitted to me from one of our larger shareholders. And he is asking about the impairments and what those specifically are, if you could speak to that.",Alarmed,
"RCI Hospitality Holdings, Inc.",RICK,NASDAQ,2024-12-16,Bradley Chhay,"The impairments are basically accelerated write-offs of various sets of assets, either intangible assets such as SOB license, goodwill, or FF&E. They stem from basically doing an analysis of the future discounted cash flows against the book value of the assets. So, in this current quarter, we had $12.5 million, and for fiscal year we had $38.5 million.",Alarmed,
"RCI Hospitality Holdings, Inc.",RICK,NASDAQ,2024-12-16,Eric Langan,"Yeah, Mark, I'd like to come. From my understanding, and Bradely correct me, a lot of this is because of interest rates increasing, and so the discounted free cash flow rates are increasing, thus driving down the value of that free cash flow and resulting in these impairments. So they're all non-cash. And the reality of it is they don't really affect the operations at all, or the free cash flow at all.",Alarmed,
"RCI Hospitality Holdings, Inc.",RICK,NASDAQ,2024-12-16,Unidentified Analyst,Good. Perfect. I'm sorry I missed the first part of this call. I was on another call. Has -- I've got a few questions. Have you guys talked about the non income producing real estate that you're planning on selling and sort of what you think the value is in terms of cash on the balance sheet and how much the EBITDA is being dragged down from the property taxes and the operating expenses? Did you guys go into that at all and the assets you're planning on selling and monetizing sort of the framework for how much it's value that's not on the balance sheet and how much EBITDA you could save by monetizing those pieces of real estate?,Alarmed,
"RCI Hospitality Holdings, Inc.",RICK,NASDAQ,2024-12-16,Eric Langan,"Of course. I mean, as we open these locations, yeah, I mean, all the construction's very near completion. So yes, most of the carrying costs for all of these locations that are getting ready to open, I say the majority, there might be, I have to go look at the, at what's left to draw on the bank loans. But there might be $3 million left on the bank loans for the two Bombshells to draw out so that go up a little bit more. But yes, all the real estate's already owned, all the property tax are being paid annually, the insurances, all those types of things. So all that revenue is going to help and EBITDA drops in, it's definitely going to help drop that from 3.28 to below 3 times. So I'm not concerned with the debt. I didn’t want to -- that's not what I'm trying to say. I'm saying is, I still like to be within our norms because if a major acquisition comes up and I want to push it to hire, I want to have that room to do so. If I'm already at a high, then I'm going to have to go, okay, well, maybe we can't make this acquisition because I don't want to push us to very close to 4 times. But if I go to 3.2, 3.3, 3.5, because I'm making a major acquisition, as we did in March of ‘23 with the acquisition, I'm not really concerned.",Alarmed,
"Red Cat Holdings, Inc.",RCAT,NASDAQ,2024-12-16,Leah Lunger,"Yeah, and I just want to say, you know, if we missed your question, I do apologize since we're kind of trying to sift through everything here. We will continue to improve in this new format that we're digging into here. So, I think that will end our question-and-answer session. And Jeff, if you just want to have any final closing remarks, that would be great.",Alarmed,
Broadcom Inc.,AVGO,NASDAQ,2024-12-12,Ross Seymore,"Hi, thanks for letting me ask a question. I want to talk about the cash return side of things, a great job on the dividend increase. The other 50%, is fiscal '25 a year where you're going to still be paying down debt? Share repurchases in the mix? Or Hock, you mentioned that VMware, the integration is largely now behind you? Usually that puts you on the prowl looking for deals. Is that something we should, in general, think about or the regulatory issues that are still a concern? Just trying to figure out what that other 50% is going to go towards this year.",Alarmed,
"SentinelOne, Inc.",S,NYSE,2024-12-12,Saket Kalia,"So super helpful framework there, Tom, right? And I just want to make sure -- I'm sorry, it's probably a dumb question, but why -- we asked this question of Barbara on the last call as well. Why is it -- why would a Lenovo shipment just be a benefit to revenue and not just ARR? Because if there's -- is there something around the deployment or anything? Maybe touch on that a little bit.",Alarmed,
"Qorvo, Inc.",QRVO,NASDAQ,2024-12-12,Tom O'Malley,"Super helpful. And then on the asset sale, I think that you went out of your way on the earnings call to identify that as an area that you would potentially be open to a sale. What occurred and why did you feel that asset had a better home elsewhere?",Alarmed,
