company,ticker,exchange,date,analyst_name,question,label
Soho House & Co Inc.,SHCO,NYSE,2024-12-19,Stephen Grambling,"And then I think I heard in this -- this has come up a couple of times, but you made a comment that the third quarter like-for-like in North America, I think, was weaker, then it's been choppy October, November time frame. And I think you touched on this a little bit, maybe I missed it. But just is there -- are there specific houses in the third quarter? Like when you put on a broader lens, what do you think has been driving some of that choppy behavior?",Alarmed
"Lamb Weston Holdings, Inc.",LW,NYSE,2024-12-19,Alexia Howard,"Can I turn to the demand side of the equation? We've talked a lot about capacity and competitors this morning. What is your research telling you about the reasons for the weak consumer demand? And I imagine the reasons might be quite different between U.S. and Europe. And specifically, are you seeing any impact at the moment about on the uptake of GLP-1 weight loss drugs, particularly here in the U.S.? I'm just wondering how that informs your expectations about an improvement in demand going forward? And then I have a follow-up. Thank you.",Alarmed
Ark Restaurants Corp.,ARKR,NASDAQ,2024-12-17,Jeffrey Kaminski,"Right. Okay. All right. Fair enough. And then second question, with respect to -- Mike, you had mentioned twice in this call, the stock price going back to when you negotiated the Tampa deal. And with respect to these write-offs, these impairment charges, again, tied into the stock price. Labor costs are what they are, they may have stabilized, but I don't see them. You may really disagree on and going down considerably. Insurance costs may stabilize maybe they won’t, but again I don’t see them coming down. So some of these headwinds exist in the future regardless. Food prices will be volatile, cost of crab, again, volatile. A question I have asked recurring here on these calls, as a shareholder, the share price -- it's hard to benchmark Ark Restaurants against other stocks, but there is a risk on ETF, there are restaurant and leisure indexes, if you will. By any benchmark, Ark stock has dramatically underperformed in years. So you talked about trying to acquire other properties. Right now, that doesn't seem to be happening. There was -- introduced to us probably six months ago, a new concept, the Asian concept that you're working on three months ago. You gave us a progress report. I asked then, if it's successful, what do you expect in terms of revenues and how you've been scaling up? Just looking for some tidbits here as to -- as a shareholder, what's going to drive the stock higher? What are we waiting for? I mean, are you waiting for another acquisition? Or we waiting for the Asian concept to keep up? Or do we think we're going to wake up one day and all of a sudden, labor costs are going to be down and insurance is going to be down? Just give us a little color and guidance as to what we can expect as shareholders?",Alarmed
Adobe Inc.,ADBE,NASDAQ,2024-12-12,Keith Weiss,"Excellent. All right. Thank you guys for taking the question. A lot of excitement from you guys on the conference call about the pace of innovation going on in the business, and we hear that excitement from creative professionals and they talk about an acceleration in the pace of innovation, but apologies to state the obvious, but investors aren't feeling that excitement or aren't showing that excitement. The stock is a major underperformer on a year-to-date basis and it's down again on an after-hours basis today. And I would point to it's the lack of acceleration that we're seeing in the numbers, right? Digital Media net new ARR this quarter grew just -- or in Creative Cloud grew 2%. You're guiding to decelerating growth into the forward year despite all this innovation. And I think the question that it brings up in investors' mind is there's some leak in the bucket, right? All this innovation, new monetization avenues, pricing going up, but the growth is going in the wrong direction. Like is there a part of the equation that's not working? Is there share losses? Is there something that we're not seeing that is taking away that momentum in the numbers that's not -- because we're not seeing the acceleration in the numbers, if you will?",Alarmed
Bank of Montreal,BMO,NYSE,2024-12-05,Darko Mihelic,"Hi, thank you. good morning. I'll be really quick. Piyush, with respect to the learnings and everything you sort of laid out for us in terms of trying to help us assess sort of what went wrong, can you maybe help size this for us? So, for example, if it's the 2021 vintage, there were a higher hold levels at that time, but what's the impairment of that portfolio? What's the size of that portfolio? And how should we think about the comfort level going forward? And I say this from a position of knowing that last year, you were comfortable going forward with credit quality. So, can you maybe size for us that vintage side -- the hold size that went wrong and how that's working through the system today and why that gives you comfort?",Alarmed
Bank of Montreal,BMO,NYSE,2024-12-05,Darko Mihelic,"Okay. And the 2022 vintage, why is there no concern with that vintage of loans?",Alarmed
"Nutanix, Inc.",NTNX,NASDAQ,2024-11-26,Nehal Chokshi,"Yes, thank you. And congrats on this really strong new logo up 50% year-over-year. That's really impressive. I'm trying to put though why is ARR decelerating given this strong land that you're seeing? And then if I look at the incremental ARR i.e. to change quarter-over-quarter for October quarter relative to the year ago quarter that was down a lot as well. So thoughts on why are there such a weak incremental ARR characteristics, especially given the backdrop that you're having such strong land metrics.",Alarmed
Dell Technologies Inc.,DELL,NYSE,2024-11-26,Toni Sacconaghi,"Yes, thank you. I'm just wondering I think last quarter you were the midpoint of your guidance for the year was $97 billion. Now the midpoint is $96.1 billion. And I'm wondering what has changed in terms of coming up weaker than your expectations, especially in light of the fact that it sounds like the AI pipeline is really strong. I think last quarter you said it was multiples of backlog, which would have put it at $11 billion to $13 billion. And you said it grew 50% sequentially. So are we looking at a backlog that's a pipeline, excuse me, that's like $16 billion or $17 billion. And why is that not informing a more optimistic view for Q4 than what you had 90 days ago? Thank you.",Alarmed
The J. M. Smucker Company,SJM,NYSE,2024-11-26,Robert Moskow,"Hi, thanks. I had a couple of questions about Hostess. One is, Mark, you mentioned that execution weakened. Can you give us a little more details on what aspect of that weakened and what caused it and how you can fix it? And then secondly, a broader question, I appreciate the plans to market Hostess more aggressively in first quarter '25, but are there any concerns internally about whether it might get drowned out? There's a lot of messaging from the new administration on Make America Healthy Again. I'm just wondering, is this the right time to be aggressively marketing indulgent snacks, and how do you think the consumer will receive it?",Alarmed
Elastic N.V.,ESTC,NYSE,2024-11-21,Howard Ma,"Great. Thank you. My question is for Janesh and/or Eric. So it sounds like you did not make up for the Q1 shortfall in customer commits in Q2, despite the bounce back. But when you factor in the acceleration in consumption trends, it sounds like maybe you were back on track with your revenue targets before the cut last quarter, and that you're just being a bit conservative with your back half assumptions. Is that true? Or maybe just asked another way, had you known you would achieve the Q2 performance that you did, both commits and consumption, would you still have lowered your full year guide last quarter?",Alarmed
Jack in the Box Inc.,JACK,NASDAQ,2024-11-20,Katherine Griffin,Hi. Thank you. This is Katherine Griffin on for Sara. We wanted to ask to what extent would you attribute the softer performance in the quarter to the demand backdrop in California versus your own sort of share loss or relative underperformance? Thank you.,Alarmed
Jack in the Box Inc.,JACK,NASDAQ,2024-11-20,Katherine Griffin,"No problem. I'll repeat it. Yeah, I just wanted to -- just trying to figure out the -- to what extent was the softer performance in the quarter a function of the broader demand backdrop in California versus your own share loss and relative underperformance?",Alarmed
Spire Inc.,SR,NYSE,2024-11-20,Bill Appicelli,"Hi, good morning, and congrats to Steve and Adam. I echo everyone else's sentiments there. Just wanted to dig into the, I guess, the Q4 results a bit. You guys had guided down full year earnings last quarter and then you came in a little bit light of the lowered expectations for the full-year. So I guess what happened there? Was it -- was it gas marketing? Was that -- I think you had modified that outlook to $27 million to $31 million for the full-year and you came in at $23 million. So was that what fell short of expectations in Q4 or can you share a little more color on that, please?",Alarmed
ZIM Integrated Shipping Services Ltd.,ZIM,NYSE,2024-11-20,Alexia Dogani,"Yes, hi, good afternoon. I had two questions. Just firstly very good to hear kind of the positive outlook that gives you the confidence to give some incremental special dividend near-term. What held you back from reversing the impairment you took last year? Because I believe that the impairment was driven by the kind of outlook of the market. Could you not reconsider that decision now that you suggest kind of things have improved more underlying? So that's my first question. And then secondly, can you just clarify, Xavier, what percent of your capacity is on this kind of smaller, less efficient vessels that could potentially come out in '25 should the market kind of turn out weaker? And then if I actually can ask one more. What are you hearing from your customers near-term? I mean is there scope for further inventory buildup into the first half of 2025 or kind of the duration kind of constrained the timing benefit of arriving in the US in the next couple of weeks? Thanks.",Alarmed
"Mitsubishi UFJ Financial Group, Inc.",MUFG,NYSE,2024-11-18,Ken Matsuda,"I am Matsuda from Daiwa Securities. I have two questions. First is about gain on sales of equity holdings and second is about your thinking behind this year's earnings. Regarding the first question, gain on sales, on Page 3 on FY'24 plans, looking at net operating profits and ordinary profits vis-a-vis initial targets, there seems to be positive $350 billion below net operating profits. Is this mostly gain on sales of equity holdings? In addition, if we look at the bar chart for this year, we can see that gain on sales of equity holdings are greater than the impact of the portfolio restructuring. But if larger gains on sale of equity holdings are included in the plan for this year, how should we think of the baseline for a gain on sales of equity holdings from next year onwards? My second question is on this year's profits. I think the macroeconomic environment is favorable due to the weak yen, and the FX assumption for the second half is JPY140. If profits are likely to be higher, thanks to the macro environment, are there any items that you can cut losses on? For example, I apologize for talking about other banks, but some banks have a recorded a lump sum provision for loss on interest repayment. Your group also has a subsidiary, ACOM. And I would like to know if you are considering similar costs for interest repayment or items where you can cut losses?",Alarmed
Grupo Aval Acciones y Valores S.A.,AVAL,NYSE,2024-11-14,Daniel Mora,"Hi, good morning and thank you for the presentation. I have three questions from our side. I would like to understand the first one. We have struck a clear downward trend in the consumer segment, but the commercial segment continues deteriorating. Why is the commercial segment taking longer than expected when compared to the consumer one? And I would like to understand if there is a particular sector showing even a more challenging scenario and when do you expect to see an improvement in this segment? That will be my first question. The second one is regarding NIM. I would like to understand if you can provide a further color regarding the NIM with and without the trading income. What was the strategy taken during this quarter that showed a strong improvement in the NIM of investment and should we consider this to be a one-off or can we expect a better performance going forward? And the last one in this question is can you repeat the guidance of the NIM for 2024 and 2025? Thank you so much. And the last one is regarding the loan program with the government. Can you repeat how much you have disbursed under this program and what are the conditions of these loans? Do they have a guarantee attached or a subsidy of interest rates? Thank you so much.",Alarmed
"Advance Auto Parts, Inc.",AAP,NYSE,2024-11-14,Unidentified Analyst,"That's helpful. Thank you. And then, just as a follow-up, so with the business comping down low single-digits, is this industry weakness or share loss and maybe it's a little bit of both? And can you help us think about the path back to positive territory moving forward?",Alarmed
Nu Holdings Ltd.,NU,NYSE,2024-11-13,Henrique Navarro,"Hi, thanks for the opportunity to make a question. I would like to do a follow up on the question on the growth mismatch between provisions and loans. I understand the rationale. You're changing the credit mix adding more secure personal loans. But my question is, if we look forward, the macro environment has been deteriorating. We have a higher estimates, et cetera. And under the expected credit loss provisioning model, we need to consider the macro environment to do our calculations. So my question is, what is the rationale for this behavior between provisions and loans? I mean, is there a risk that eventually you may need to reinforce provisions ahead? That's it. Thank you.",Alarmed
StoneCo Ltd.,STNE,NASDAQ,2024-11-12,Mario Pierry,"Hey, guys. Good evening. Congratulations on the quarter. I wanted to explore a little bit more exactly on the take rate and I think you answered part of that question -- in the previous question. But basically when we look at your MSMB take rates right like you were running at 2.58%, you were guiding for 2.49%. The mix has been weaker than expected given PIX. So why is your take rate higher than what you were expecting? Is it because you already started to implement higher prices for your clients? You said a lot, right, that the competitive environment is very rational or is it because the banking product is more profitable for you?",Alarmed
"Sunstone Hotel Investors, Inc.",SHO,NYSE,2024-11-12,Bryan Giglia,"Morning, Duane. Okay, so when we did the update in October, that was confined purely to the labor impact in San Diego. We didn’t provide anything else on the portfolio at that time because we were still within closing up the quarter and not seeing where everything was at that point. So that was that update. And Maui did underperform in Q3 and it continued into Q4 – and continues into Q4. And though it’s overall just a general leisure pickup has been slower in this market than some of the other markets. And when you look across the portfolio, our group is firing on all cylinders. Our business transient is doing very well. Leisure is kind of hit and miss where wine country, we’re seeing very promising results. And in other markets like Maui, Key West occupancy is there, but it’s a rate sensitive, it’s become a little bit more rate sensitive of market and Maui has struggled over the last couple of quarters. There is no relief business in there and we fully lapped that over last year. And so that’s not impacting anything now. The positive that we’ve seen in Maui, a couple things. One is that group picks up and group picks up very strong next year. We have some decent group in the fourth quarter, but 2025 and we’ve talked about this before, there’s a large group that’s on-island for two years and then off-island and this was an off-island year. So our group pace is very strong next year. The state of Hawaii has been putting money into some promotional campaigns for to promote Maui post-fire. We’re looking for to continue to do that. We’re getting great help from the brands and other distribution channels to help bring business back in there. The biggest positive we’ve seen recently is we’ve seen airline flights and seats declined steadily over or been down for over a year now. For the month of December where we’d actually seen that switch and so seats and flights are up about 5% and that mainly coming from the west coast. But that’s the biggest feeder market for Maui. And so that’s a big positive where we’ve seen, we actually see more lift going into the island. And I think where that’s – for the month of December, where that’s translated to is we’ve seen festive, very strong, festive is up, room nights significantly, rate is down. But it does allow the hotel to fill and allow the hotel to fill and do a few things, one, it gives it upsell opportunities. It has ancillary spending that’s very high at that hotel. And so total revenue is up for festive, room nights are up. And layering on top of that, our very strong pace for next year, gives us a lot more optimism as we look at Maui going forward.",Alarmed
